Genus,Species,Infection_status,reproduction,colony_propagation,social_structure,independent?
Acanthomyrmex,ferox,+,AQ,B,P,no
Aenictus,javanus,+,EQ,F,M,no
Aenictus,laeviceps,+,EQ,F,M,no
Amblyopone,pallipes,-,AQ,NA,P,no
Amblyopone,reclinata,+,NA,B,,no
Anoplolepis,longipes,+,AQ,P,M,no
Aphaenogaster,senilis,-,NA,NA,,no
Cardiocondyla,emeryi,+,AQ,B,P,no
Cataglyphis,cursor,-,NA,H,,no
Diacamma,rugosum,-,GQ,H,M,no
Diacamma,sp.,-,GQ,F,M,no
Dinoponera,gigantea,-,NA,H,,no
Dolichoderus,thoracicus,-,AQ,NA,P,no
Dorylus,laevigatus,-,EQ,F,M,no
Dorylus,wilverthi,-,NA,H,,no
Eciton,burchellii,-,EQ,F,P,no
Eciton,hamatum,-,NA,H,,no
Formica,lugubris,+,NA,B,,no
Formica,paralugubris,+,AQ,B,P,no
Formica,polyctena,+,NA,H,,no
Formica,rufa,+,NA,F,,no
Formica,exsecta,+,NA,B,,no
Formica,truncorum,+,NA,B,,no
Formica,praetensis,+,AQ,B,P,no
Formicoxenus,provancheri,+,NA,NA,,no
Labidus,praedator,-,NA,H,,no
Leptanilla,sp. 1,-,EQ,H,M,no
Leptanilla,sp. 2,+,EQ,F,M,no
Leptogenys,diminuta,-,EQ,F,M,no
Leptogenys,myops,+,EQ,F,M,no
Leptothorax,rugatulus,-,NA,NA,,no
Linepithema,humile,+,NA,B,,no
Myopias,emeryi,+,AQ,B,P,no
Myrmecina,sp.,-,EQ,B,P,no
Mycoceparus,smithii,-,NA,NA,,no
Neivamyrmex,nigrescens,+,NA,B,,no
Odontomachus,rixosus,+,AQ,F,P,no
Oecophylla,smaragdina,-,NA,H,,no
Onychomyrmex,hedleyi,-,NA,H,,no
Pachycondyla,astuta,-,GQ,B,P,no
Pheidole,minutula,-,NA,H,,no
Pheidologeton,affinis,+,NA,F,,no
Platythyrea,sp.,-,GQ,F,P,no
Polyergus,breviceps,+,NA,B,,no
Rhytidoponera,metallica,+,GQ,B,P,no
Sericomyrmex,amabilis,+,NA,NA,,no
Solenopsis,geminata,-,NA,H,,no
Solenopsis,invicta,+,NA,NA,,no
Tapinoma,sp.,+,AQ,B,P,no
Tetramorium,kheperra,-,AQ,H,P,no
Tetramorium,sp.,-,AQ,H,P,no
Acromyrmex,echinatior,+,NA,P,,yes
Acromyrmex,octospinosus,+,NA,NA,,yes
Atta,cephalotes,+,NA,B,,yes
Atta,sexdens,+,NA,F,,yes
Atta,colombica,+,NA,B,,yes
Atta,texana,+,NA,F,,yes
Cyphomyrmex,costatus,-,NA,H,,yes
Cyphomyrmex,longiscapus,-,NA,NA,,yes
Gnamptogenys,costata,-,AQ,H,M,yes
Hypoponera,sp.,-,AQ,H,M,yes
Lasius,alienus,-,NA,NA,,yes
Myopopone,castanea,-,AQ,NA,,yes
Mystrium,rogeri,-,NA,NA,,yes
Odontomachus,simillimus,-,AQ,H,M,yes
Pheidole,sp.,-,AQ,H,M,yes
Pheidole,tandjongensis,-,AQ,H,M,yes
Pogonomyrmex,maricopa,-,NA,NA,,yes
Polyrhachis,cryptoceroides,-,AQ,H,M,yes
Pristomyrmex,brevispinosus,-,AQ,H,M,yes
Probolomyrmex,dammermani,+,NA,NA,,yes
Tetraponera,penzigi,+,NA,NA,,yes
Trachymyrmex,cornetzi,-,NA,NA,,yes
